Node ID,Latitude,Longitude
10824467453,-7.2034154,110.3398722
10859687489,-7.2038704,110.3397971
10833087950,-7.2043428,110.3398145
10824467456,-7.2045809,110.3397274
10824467458,-7.2050812,110.3396980
10824467460,-7.2055310,110.3395316
10824467463,-7.2060126,110.3396845
10824467464,-7.2063133,110.3398910
10824467465,-7.2066619,110.3401753
10824467466,-7.2070903,110.3401995
10824467467,-7.2074681,110.3403175
10824467468,-7.2080323,110.3403926
10824467469,-7.2083037,110.3404462
10824467470,-7.2088253,110.3404731
10824467471,-7.2092084,110.3403228
10824467472,-7.2097726,110.3402156
10824467473,-7.2101238,110.3400975
10824467474,-7.2108849,110.3393465
10824467475,-7.2109142,110.3389066
10824467476,-7.2106773,110.3385392
10824467477,-7.2106108,110.3382549
10824467478,-7.2108529,110.3379437
10824467479,-7.2109088,110.3377962
10824467480,-7.2109780,110.3374797
10824467481,-7.2109687,110.3372128
10824467482,-7.2110006,110.3368628
10824467483,-7.2113000,110.3365141
10824467484,-7.2115262,110.3364846
10824467485,-7.2117923,110.3366348
10824467486,-7.2119679,110.3366590
10824467487,-7.2121967,110.3364363
10824467488,-7.2124070,110.3360313
10824467489,-7.2129711,110.3355432
10824467490,-7.2131973,110.3355136
10824467491,-7.2133809,110.3352803
10832108929,-7.2134980,110.3349075
10832108928,-7.2137321,110.3348109
10832108927,-7.2141393,110.3349262
10832108926,-7.2146103,110.3348270
10832108925,-7.2152329,110.3344595
10832108924,-7.2155416,110.3343040
10832108923,-7.2164836,110.3339982
10832108922,-7.2180482,110.3342128
10832108921,-7.2190088,110.3345668
10832108920,-7.2198603,110.3346178
10832108919,-7.2203712,110.3348806
10832108918,-7.2208848,110.3347358
10832108917,-7.2210338,110.3347599
10832108916,-7.2214542,110.3350389
10832108915,-7.2216086,110.3349745
10832108914,-7.2218480,110.3347546
10832108913,-7.2220396,110.3347251
10832108912,-7.2223802,110.3348350
10832108911,-7.2224627,110.3347680
10832108910,-7.2225545,110.3345970
10832108909,-7.2226517,110.3345447
10832108908,-7.2227927,110.3345621
10832108907,-7.2229550,110.3346540
10832108906,-7.2232264,110.3346111
10832108905,-7.2233744,110.3345357
10832108904,-7.2235218,110.3345843
10832108903,-7.2236149,110.3348055
10832108902,-7.2236828,110.3350697
10832108901,-7.2242376,110.3353822
10832108900,-7.2245715,110.3355123
10832108899,-7.2250731,110.3355405
10832108898,-7.2254616,110.3356183
10832108897,-7.2255960,110.3355941
10832108896,-7.2256685,110.3354721
10832108895,-7.2257975,110.3354453
10832108894,-7.2259765,110.3353688
10832108893,-7.2261361,110.3354399
10832108892,-7.2264368,110.3354292
10832108891,-7.2267228,110.3353152
10832108890,-7.2268958,110.3351247
10832108889,-7.2272630,110.3350738
10832108888,-7.2274865,110.3350604
10832108887,-7.2276595,110.3350174
10832108886,-7.2278950,110.3349169
10832108885,-7.2281438,110.3348780
10832108884,-7.2282761,110.3350758
10832108883,-7.2284145,110.3352146
10832108882,-7.2285668,110.3351569
10832108881,-7.2286360,110.3345293
10832108880,-7.2287159,110.3342208
10832108879,-7.2290485,110.3342074
10832108878,-7.2291522,110.3343630
10832108877,-7.2291602,110.3345454
10832108876,-7.2297509,110.3349102
10832108875,-7.2298680,110.3351220
10832108874,-7.2302299,110.3353795
10832108873,-7.2304987,110.3353205
10832108872,-7.2307435,110.3354520
10832108871,-7.2309084,110.3355807
10832108870,-7.2311719,110.3353795
10832108869,-7.2312943,110.3352535
10832108868,-7.2317147,110.3352763
10832108867,-7.2320153,110.3351891
10832108866,-7.2324797,110.3353085
10832108865,-7.2326939,110.3355592
10832108864,-7.2327870,110.3358516
10832108863,-7.2328815,110.3360622
10832108862,-7.2329945,110.3363317
10832108861,-7.2330504,110.3364551
10832108860,-7.2331515,110.3364471
10832108859,-7.2333458,110.3363264
10832108858,-7.2335427,110.3364363
10832108857,-7.2335400,110.3365973
10832108856,-7.2336518,110.3367341
10832108855,-7.2338806,110.3368320
10832108854,-7.2340589,110.3371739
10832108853,-7.2346177,110.3380081
10832108852,-7.2348226,110.3384963
10832108851,-7.2347560,110.3386036
10832108850,-7.2345485,110.3386518
10832108849,-7.2344713,110.3389335
10832108848,-7.2345392,110.3391507
10832108847,-7.2347055,110.3394109
10832108846,-7.2360146,110.3400493
10832108845,-7.2360838,110.3403979
10832108844,-7.2361849,110.3409773
10832108843,-7.2366053,110.3413635
10832108842,-7.2371747,110.3414923
10832108841,-7.2373663,110.3419805
10832108840,-7.2374302,110.3422219
10832108839,-7.2376670,110.3423560
10832108838,-7.2380661,110.3424230
10832108837,-7.2381167,110.3425357
10832108836,-7.2380581,110.3428817
10832108835,-7.2381300,110.3430802
10832108834,-7.2384546,110.3430426
10832108833,-7.2386462,110.3429085
10832108832,-7.2394085,110.3425558
10832108831,-7.2395628,110.3426135
10832108830,-7.2397371,110.3427207
10832108829,-7.2398303,110.3430507
10832108828,-7.2399194,110.3433256
10832108827,-7.2402547,110.3434275
10832108826,-7.2404449,110.3436381
10832108825,-7.2409425,110.3442711
10832103864,-7.2413150,110.3446895
10832108824,-7.2414534,110.3451186
10832108823,-7.2415279,110.3456229
10832108822,-7.2417806,110.3458992
10832108821,-7.2419110,110.3461057
10832108820,-7.2418631,110.3462666
10832108819,-7.2420334,110.3467709
10832108818,-7.2423900,110.3470230
10832108817,-7.2430898,110.3472322
3181996072,-7.2432154,110.3473676
